CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U18101KA1994PLC015575,SAMRAT ASHOKA EXPORTS LIMITED   ,ULQD,Public,Company limited by Shares,Non-govt company,02-05-1994,Karnataka,170000000.0,10000000.0,18101,Manufacturing,"NO.85/1, 3RD FLOOR,SHAKTHIBUILDING,K.H.ROAD,BANGALORE 560 027.  ",ROC BANGALORE,,,
U74900KA2011PTC057366,KNS COAL EXIM PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,04-03-2011,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"No. 1788/c, 9th Cross, 5th MainRPC Layout, Vijayanagara 2nd Stage,  ",ROC BANGALORE,info@kgacharya.com,31-03-2014,31-03-2014
U74999KA2016PTC097877,INDIA HEIGHT SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-11-2016,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"No.154, Second Floor,5th Main, HSR Layout  ",ROC BANGALORE,arijitia@gmail.com,31-03-2017,31-03-2017
U40106KA2017PTC100403,PHSL POWER PROJECTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-02-2017,Karnataka,500000.0,100000.0,40106,Electricity gas and water supply,"No.16/18, DODDAKERE,BRAHMANARA BEEDI, ANEKAL  ",ROC BANGALORE,venkateshL440@rediffmail.com,,
U74999KA2011PTC059821,SKILLMINE TECHNOLOGY CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2011,Karnataka,2000000.0,2000000.0,74999,Real estate renting and business activities,"212, 'CELSTIC TOWER' GREEN GLEN LAYOUTBELLANDUR  ",ROC BANGALORE,anant.agrawal@skill-mine.com,31-03-2019,31-03-2019
U72900KA2014PTC075993,CHARISMATIC INFOSOFT INDIA PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,25-08-2014,Karnataka,300000.0,200000.0,72900,Real estate renting and business activities,"NO. 29/1, FIRST FLOOR, BERATINA AGRAHARA,ELECTRONIC CITY POST, HOSUR ROAD,  ",ROC BANGALORE,classicautogas@gmail.com,,
U74999KA2018PTC113854,QINEXIS TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-06-2018,Karnataka,1000000.0,1000000.0,74999,Real estate renting and business activities,"NO 2068, 1ST CROSS, 1ST MAINDR.SHIVARAMKARANTHA NAGAR, JAKKUR  ",ROC BANGALORE,mr.nayak14@gmail.com,,
U93090KA2008NPL045840,PARINAAM FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,31-03-2008,Karnataka,500000.0,500000.0,93090,Other community social and personal service activities,"No. 30, Ground Floor, Grape Garden,3rd A Cross, 18th Main, 6th Block, Koramangala  ",ROC BANGALORE,mallika.ghosh@parinaam.org,31-03-2019,31-03-2019
U70100KA2013PTC067954,DANICA PROJECTS AND DEVELOPMENT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-02-2013,Karnataka,100000.0,100000.0,70100,Real estate renting and business activities,"Carlton Towers, A Wing, 3rd Floor,Unit No. 301-314, No.1 Old Airport Road,  ",ROC BANGALORE,sadanandam@expat-group.com,31-03-2018,31-03-2018
U51109KA1992PTC013644,EMIRATES INDIA INVESTMENTSANDEXPORTSPRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,27-10-1992,Karnataka,2400000.0,300.0,51109,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"3792,7TH MAIN,H.A.L.II STAGEINDIRANAGARBANGALORE  ",ROC BANGALORE,,,
U72200KA1999PTC024638,ING INFOTEK INTERNATIONAL PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,21-01-1999,Karnataka,5000000.0,100000.0,72200,Real estate renting and business activities,"218/24, SECOND MAINHANUMANT NAGARBANAGALORE  ",ROC BANGALORE,naveen_saiyam@yahoo.com,31-03-2014,31-03-2014
U27101KA1974PTC002501,KRISHNA FABRICATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-02-1974,Karnataka,60000000.0,41375000.0,27101,Manufacturing,"6A, PHASE 1, PEENYA INDUSTRIAL AREA   ",ROC BANGALORE,sramesh@bangaloresoftware.com,31-03-2019,31-03-2019
U18101KA1997PTC022878,VIGNESH TEXPORTS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,09-10-1997,Karnataka,10000000.0,10000000.0,18101,Manufacturing,NO81.6TH CROSSVICTORIA LAYOUTBANGALORE  ,ROC BANGALORE,,,
U74993KA2019PTC129629,SNAP4PRINT INNOVATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-11-2019,Karnataka,100000.0,100000.0,74993,Real estate renting and business activities,"#381, Ground Floor,1st Cross,Gullappa Reddy LayoutB/H Government Primary School, Mahadevpura  ",ROC BANGALORE,snap4print18@gmail.com,,
U65992KA2005PTC037727,KANAKSHRI CHITS (GOKAK) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-11-2005,Karnataka,200000.0,110000.0,65992,Financial intermediation,"I. M. KESARI BUILDING, R.S. NO- 191/1PLOT NO - 9, BASAVA NAGAR  ",ROC BANGALORE,kanakshrichitspvtltd@gmail.com,31-03-2019,31-03-2019
U65992KA1985PTC006795,HEMA VARDHANE CHIT FUNDS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-03-1985,Karnataka,500000.0,0.0,65992,Financial intermediation,"[RWDISPLAY MEMORYB.M.ROAD,706SAN,KARNATAKA./N;HPYIIIIIIIIIIIIIIIIIIIII  ",ROC BANGALORE,,,
U15100KA2017PTC108442,ENLIGHT LIFE SCIENCE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-12-2017,Karnataka,1000000.0,100000.0,15100,Manufacturing,"No.501, Place on earth, 5th FloorNo 100 2nd Main, Pai Layout  ",ROC BANGALORE,me@mlamarnath.com,31-03-2019,31-03-2019
U45309KA2018PTC116451,LITTLE LEAVES DEVELOPERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-09-2018,Karnataka,100000.0,100000.0,45309,Construction,53/2A HUSKUR GATEHOSUR ROAD ELECTRONIC CITY  ,ROC BANGALORE,GEORGIE_THALIATH@HOTMAIL.COM,,
U74210KA2005PTC037250,KENNETH MENZIES DESIGN PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,16-09-2005,Karnataka,100000.0,100000.0,74210,Real estate renting and business activities,"#623, GODAVARI BLOCK,NATIONAL GAMES  VILLAGE,KORAMANGALA,  ",ROC BANGALORE,kimiko@ekalifestyle.com,31-03-2018,31-03-2018
U24233KA2011PTC056853,SYNERGY INSECTISIDES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-01-2011,Karnataka,500000.0,500000.0,24233,Manufacturing,"D-15/16, SHINDHE COMPLEX,NEELIGIN ROAD  ",ROC BANGALORE,synergyinsecticides@gmail.com,31-03-2019,31-03-2019
U24248KA2016PTC086024,DYNAMARK LIFE SCIENCES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-02-2016,Karnataka,500000.0,350000.0,24248,Manufacturing,"#2009/208, Ranga Natha Badavane(Taralabalu Badavane) Vidya nagara  ",ROC BANGALORE,dynamarklifesciences@gmail.com,31-03-2019,31-03-2019
U29295KA1997PTC022271,MELCO ENGRAVING INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-05-1997,Karnataka,2250000.0,2250000.0,29295,Manufacturing,"PLOT NO.82, BOMMASANDRA INDLAREA, 4TH PHASE,ANEKAL TALUK  ",ROC BANGALORE,ham@melcomail.com,31-03-2019,31-03-2019
U70103KA2017PTC101372,SRI NITYANANDASAI PROPERTIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,15-03-2017,Karnataka,1000000.0,600000.0,70103,Real estate renting and business activities,D.NO.12-1-17( 3)LONDON PLAZA  ,ROC BANGALORE,divakarashettysaibaba@gmail.com,,
U24117KA1979PTC003658,SARAD BIOCHEMICALS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,15-11-1979,Karnataka,100000.0,200.0,24117,Manufacturing,"45/A, OSBORNA RD.,BANGALORE-62   ",ROC BANGALORE,,,
U74999KA2016PTC093916,NOUMENON INTERNET SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-06-2016,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"House No. 1593, 8th Cross, 1st StageKumaraswamy Layout  ",ROC BANGALORE,vivek_ranjan@outlook.com,,
U74999KA2018PTC115095,NIKSHEP GIFTS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-07-2018,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"No. 72/2,SRS Road, Peenya 1st Stage  ",ROC BANGALORE,nitinkumarbajpai@gmail.com,,
U15400KA2015PTC082249,HONEY BEE ORGANIC FOODS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,13-08-2015,Karnataka,1000000.0,100000.0,15400,Manufacturing,"Flat 102, Srinidhi Regency, KesavanahalliBehind Salarpuria Sanctity, Sarjapur Road  ",ROC BANGALORE,dhavasarav@gmail.com,,
U45201KA1998PTC024131,NAGARHOLE JUNGLE CAMP PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,27-08-1998,Karnataka,1000000.0,100.0,45201,Construction,C/O KINGS KOURT HOTELJHANSI LAXMIBAI ROADMYSORE  ,ROC BANGALORE,,31-03-2005,31-03-2005
U85110KA1995PTC017378,VOLTAMP TRANSFORMERS (SOUTH) PRIVATE LIMITED  ,ULQD,Private,Company limited by Shares,Non-govt company,16-03-1995,Karnataka,20000000.0,20000000.0,85110,Health and social work,"304, REGENCY ENCLAVE,MAGRATH ROAD,BANGALORE  ",ROC BANGALORE,,,
U65992KA2012PTC065895,SHRI VARALAXMI CHITS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,13-09-2012,Karnataka,100000.0,100000.0,65992,Financial intermediation,GROUND FLOOR CTS NO 2940HEGGANNAVAR COMPLEX RAVIWARPETH  ,ROC BANGALORE,srikant.gadavi@gmail.com,31-03-2016,31-03-2016
U01320KA1984PTC006423,VIVEKANAND MINERALS AND CHEMICALS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,12-10-1984,Karnataka,500000.0,200.0,01320,Agriculture & allied,"1-2634 AIWAN-E-SHAKI ,GULBARGA   ",ROC BANGALORE,,,
U40101KA2004PTC033554,EVEREST ENERGY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,15-03-2004,Karnataka,1000000.0,100000.0,40101,Electricity gas and water supply,"108, `SRI GANESH'DEFENCE COLONYSAHAKAR NAGAR  ",ROC BANGALORE,,,
U51909KA1993PTC084261,GOCHAR COMMERCIAL PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,13-12-1993,Karnataka,7500000.0,7300200.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"MURUGAN PLAZA2ND FLOOR, 3RD CROSS, S.P. ROAD  ",ROC BANGALORE,anilmah@yahoo.com,31-03-2019,31-03-2019
U72900KA2016PTC097923,SAMAHAL SOFTWARES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-11-2016,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"No.58, 1st Cross, 4th MainNiveditha Nagara,  ",ROC BANGALORE,mohaneshbm@gmail.com,31-03-2019,31-03-2019
U03220KA1998PTC024252,PARK AVIATION TECHNOLOGIES & SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,24-09-1998,Karnataka,1000000.0,100000.0,03220,Agriculture & allied,"NO.22, 80 FEET ROAD, HAL IIISTAGE, BANGALORE   ",ROC BANGALORE,info@parkcontrols.com,31-03-2018,31-03-2018
U74900KA2011PTC056584,PHOENIX ACCOUNTING & TAXATION SERVICEPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,11-01-2011,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"No.238, 2nd Floor, Krishna Rao Sindhia Road,R.V.Road Cross, VV Puram  ",ROC BANGALORE,dsc@phoenixats.info,31-03-2019,31-03-2019
U31909KA2004PTC033469,TRIPLE-S COMPONENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-02-2004,Karnataka,5000000.0,2750000.0,31909,Manufacturing,"NO. 111G, KIADB INDUSTRIAL AREA,BOMMASANDRA  ",ROC BANGALORE,triplesgroup@yahoo.co.in,31-03-2019,31-03-2019
U45300KA2018PTC112564,ABHIAN ASSOCIATES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-04-2018,Karnataka,1000000.0,200000.0,45300,Construction,"R M Bapat, Sagar Joga Road,Sagar,  ",ROC BANGALORE,manjubapatdvg@gmail.com,,
U00063KA1994PTC016166,ABG MARKETING SERVICES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,29-08-1994,Karnataka,500000.0,40.0,00063,Agriculture & allied,"F-45,LAXMI COMPLEX,NEELIGIN ROAD,HUBLI-29   ",ROC BANGALORE,,,
U31909KA1975PTC002786,ANTI-SURGE FUSES AND LAMPS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,02-05-1975,Karnataka,200000.0,2000.0,31909,Manufacturing,"1/B NANJAMBHA AGRAHARA,CHAMRAJPETBANGALORE -2  ",ROC BANGALORE,,,
U51219KA1999PTC025409,MAGANUR BASAPPA SEEDS COMPANY PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,02-07-1999,Karnataka,1000000.0,66000.0,51219,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"#5-640, CHOWKIPET,DAVANAGERE.   ",ROC BANGALORE,,,
U72200KA2013PTC067531,JWANITH SOLUTIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,04-01-2013,Karnataka,100000.0,100000.0,72200,Real estate renting and business activities,"#25/A, 2nd Floor, K. R. Colony,Domlur Layout,  ",ROC BANGALORE,sunil@jwanithsolutions.com,,
U29269KA1985PTC007113,BANGALORE MACHINES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,30-08-1985,Karnataka,150000.0,4000.0,29269,Manufacturing,"EMS 245, II STAGE, KHS COLONYWEST OF CHORD ROAD  ",ROC BANGALORE,,,
U74999KA2019PTC123287,PAKKA TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-04-2019,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"No 90, 3rd Floor, 2nd Main Phase I,Electronic City, Hosur Road  ",ROC BANGALORE,arun.new@gmail.com,,
U45205KA2013PTC069821,PRASHANTH ROAD INFRAPROJECTS ANDDEVELOPERS PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-06-2013,Karnataka,10000000.0,10000000.0,45205,Construction,"No. 3,  SNEHA NAGAR,AMRUTHAHALLI, VIRUPAKSHAPURA  ",ROC BANGALORE,prashanth.builders@gmail.com,31-03-2018,31-03-2018
U72200KA2008FTC047043,INDO-HALVAI IT SERVICES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Subsidiary of Foreign Company,04-07-2008,Karnataka,1210350.0,103580.0,72200,Real estate renting and business activities,"#202, Prestige Meridian II, 30, M.G. Road,   ",ROC BANGALORE,rupa@chennai.kochhar.com,,
U40106KA2017PTC104141,SUNVEC CONSULTING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-06-2017,Karnataka,10000.0,10000.0,40106,Electricity gas and water supply,"#2, Sri Balaji HBCS Layout,Near Vidyapeeta, BSK 3rd Stage,  ",ROC BANGALORE,sathya@sunvec.in,31-03-2019,31-03-2019
U93000KA2014PTC073817,INFINIMINDS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-02-2014,Karnataka,30000000.0,28000000.0,93000,Other community social and personal service activities,"2nd Floor,""Jivam Edifice"", No.23,KPTCL RoadOpp. HNR Ind. Estate, Kasavanahalli,Sarjapur Road  ",ROC BANGALORE,contact@infiniminds.com,31-03-2019,31-03-2019
U72900KA2018PTC114504,TRAN 2 DIGI IT SOLUTIONS AND SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,04-07-2018,Karnataka,1000000.0,1000000.0,72900,Real estate renting and business activities,"No. 56/1-1, 4th Main, 18th Cross,Malleshwaram,  ",ROC BANGALORE,psubbu3573@gmail.com,31-03-2019,31-03-2019
U45200KA2008PTC048116,ARATTU HOSPITALITIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-10-2008,Karnataka,200000000.0,200000000.0,45200,Construction,"60/3,First Floor,Singasandra  ",ROC BANGALORE,accounts@arattukulamdevelopers.com,31-03-2017,31-03-2017
U31103KA2003PTC032058,PATIL ELECTRIC WORKS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-06-2003,Karnataka,15000000.0,14063000.0,31103,Manufacturing,"SPL. PLOT NO.7,INDUSTRIAL ESTATEGOKUL ROAD  ",ROC BANGALORE,accounts@pewpl.in,31-03-2019,31-03-2019
U72900KA2018PTC119470,BEANSTACK SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-12-2018,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,NO -116/8MUNNEKOLAL  ,ROC BANGALORE,sunita.rasmy@gmail.com,,
U72900KA2018PTC113791,MYBATAZ INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-06-2018,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"# 45/3, Gopal Krishna Complex, 1st FloorResidency Road  ",ROC BANGALORE,sormy.curpen@mybataz.com,,
F03050,FURUKAWA ROCK DRILL COMPANY LIMITED   ,ACTV,,,,11-06-2007,Karnataka,0.0,0.0,,Agriculture & allied,"No.116, 1st Floor, 8th CrossRailway Parallel Road , Kumara Park West  ",ROC DELHI,ibsndl@nda.vsnl.net.in,,
U85110KA1993PTC014399,K.T.R. INFRASTRUCTURE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-06-1993,Karnataka,2500000.0,2050000.0,85110,Health and social work,"588, Ist ""A"" MAIN, 6th SECTOR, H S R LAYOUT   ",ROC BANGALORE,ktramaraju@gmail.com,31-03-2019,31-03-2019
U19116KA2016PTC093990,JASPER CONCEPTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-06-2016,Karnataka,100000.0,100000.0,19116,Manufacturing,"SEAT19 EHEALTH TBI 3rd floor PixelA, PES School of Engg Hosur Rd Electronics City  ",ROC BANGALORE,tony.john@jasperconcepts.in,31-03-2019,31-03-2019
U67120KA1988PTC009192,SHIVALLY INVESTMENT COMPANY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,14-06-1988,Karnataka,100000.0,100000.0,67120,Financial intermediation,"PRESS CORNER,MANIPALUDUPI  ",ROC BANGALORE,binod.mandal@manipalgroup.info,31-03-2019,31-03-2019
U36995KA2018PTC112690,POINSETTIA TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-04-2018,Karnataka,1000000.0,200000.0,36995,Manufacturing,"#343,Reddy Complex, BGS Hospital Road,, MylasandraKengari Hobli,  ",ROC BANGALORE,psethiyad@gmail.com,,31-03-2019
U51909KA2016PTC095334,KARTHIKBIOMEDIX PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,27-07-2016,Karnataka,2500000.0,2500000.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"NO. 260/1, ABHIRAM COMPLEX, 1ST FLOOR,2ND MAIN,SAMPIGE ROAD, MALLESHWARAM, BANGALORE  ",ROC BANGALORE,karthikbiomedix@gmail.com,31-03-2018,31-03-2018
U60222KA2017PTC107867,KRIKUNJ LOGISTICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-11-2017,Karnataka,100000.0,100000.0,60222,Transport storage and communications,"5503-04, NANDI ENCLAVE11/12 BANASHANKARI 3 STAGE  ",ROC BANGALORE,PUCKS.PATE@GMAIL.COM,31-03-2019,31-03-2019
U31909KA1986PTC007502,VISHAKHA ELECTRICALS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,04-03-1986,Karnataka,100000.0,1000.0,31909,Manufacturing,"NO.12/12,16TH MAIN,MRCRLAY-OUT,VIJAYANAGAR  ",ROC BANGALORE,,,
U05190KA2004PTC034920,VAISHNO PRO-GEN PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-10-2004,Karnataka,1500000.0,100000.0,05190,Agriculture & allied,# 1186/14 35TH C CROSS IVTD BLOCKBANGALORE.  ,ROC BANGALORE,mnreddy58@gmail.com,31-03-2009,31-03-2009
U67190KA2017PTC099246,KWALITY MOBIKES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-01-2017,Karnataka,5000000.0,5000000.0,67190,Financial intermediation,"No. 162 Old KNo 160 Kathalipalya, 80 FT Road  ",ROC BANGALORE,jayavanthtv@gmail.com,31-03-2019,31-03-2019
U74999KA2018PTC118380,REVASITAM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-11-2018,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"164 ,5TH CROSS, H.SIDDAIAH ROAD4TH MAIN, WILSON GARDEN  ",ROC BANGALORE,hello@revasitam.com,31-03-2019,31-03-2019
U80301KA2013PTC067540,ARICIA CAREER CONSULTANTS PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,07-01-2013,Karnataka,100000.0,100000.0,80301,Education,"907, 5TH CROSS, 9TH G MAIN,HRBR LAYOUT, KALYANNAGAR  ",ROC BANGALORE,yathiraj.co@gmail.com,,
U27104KA1971PTC002066,BALDEV STEELS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,06-07-1971,Karnataka,1000.0,900.0,27104,Manufacturing,"12/3, DICKENSON ROAD,BANGALORE-1.BANGALORE  ",ROC BANGALORE,,,
U52590KA2015PTC081213,KOLAVERETAIL DISTRIBUTION PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,29-06-2015,Karnataka,500000.0,100000.0,52590,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"NO. 71, 3RD CROSS,MICO LAYOUT, VIJAYNAGAR  ",ROC BANGALORE,bhat_ramachandra@hotmail.com,31-03-2019,31-03-2019
U00389KA1995PLC017962,WLL INTERNATIONAL LIMITED   ,ULQD,Public,Company limited by Shares,Non-govt company,05-06-1995,Karnataka,200000000.0,40000.0,00389,Agriculture & allied,"C/O.FOX MANDAL & ASSOCIATES,SOLICITORS & ADVOCATESFM HOUSE, 6/12, PRIMROSE ROAD,  ",ROC BANGALORE,,,
U63013KA2010PTC053381,ORION CARGO PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,26-04-2010,Karnataka,100000.0,100000.0,63013,Transport storage and communications,"NO.112, SHREE COMPLEX, 72,ST. JOHNS ROAD  ",ROC BANGALORE,yathiraj_co@yahoo.co.in,,
U70101KA1987PTC008327,CARPATHIA CONSTRUCTION PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,01-05-1987,Karnataka,1000000.0,424598.79,70101,Real estate renting and business activities,"CHEZ LEILA, NO.9, MOYENVILLE ROADLANGFORD TOWN  ",ROC BANGALORE,HAgopinath@gmail.com,31-03-2016,31-03-2016
U72200KA2012PTC063331,GILUXE PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,30-03-2012,Karnataka,5000000.0,100000.0,72200,Real estate renting and business activities,"Vakil Townscape Layout,Villa 17,Jigani Industrial Area, Phase 2, Anekal Taluk,  ",ROC BANGALORE,marco.bartoli@giluxe.com,,
U85110KA2006PTC038728,TOTAL ENVIRONMENT HOSPITALITY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-03-2006,Karnataka,10500000.0,5469430.0,85110,Health and social work,"IMAGINE, NO.78, ITPLMAIN ROAD EPIP ZONEWHITEFIELD  ",ROC BANGALORE,company.secretary@total-environment.com,31-03-2019,31-03-2019
U65999KA1998PLC024576,PREMIER FINVEST LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,23-12-1998,Karnataka,3000000.0,2000.0,65999,Financial intermediation,"AL-AMEEN TOWERS,3RD FLOORAL-AMEEN COMPLEXNEAR LALBAG MAIN GATE,HOSUR ROAD,  ",ROC BANGALORE,,,
U52100KA2012PTC062162,TYKHE TRADE SERVICES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,20-01-2012,Karnataka,100000.0,100000.0,52100,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,003 FARAH GREEN'S 10 EAGLE STREETLANGFORD TOWN  ,ROC BANGALORE,ramks17@gmail.com,,
U80904KA2011PTC058386,LANDMARK INSTITUTION FOR SKILLS TRAININGPRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,28-04-2011,Karnataka,110000000.0,82821040.0,80904,Education,"1st Floor, 77 Town Centre, Building No. 3,West Wing, Off HAL Airport Road, Yamlur P.O.,  ",ROC BANGALORE,ramaprasad.s@landmarkgroup.in,31-03-2017,31-03-2017
U45202KA2008PTC048518,HCP INFRASTRUCTURE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-12-2008,Karnataka,5000000.0,4600000.0,45202,Construction,"NO.650, CINEMA ROADDODDABALLAPUR  ",ROC BANGALORE,hakeemsjpp@gmail.com,31-03-2018,31-03-2018
U52609KA2019PTC122494,POTENTIAL ONLINE TRADING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-03-2019,Karnataka,100000.0,100000.0,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"#P 101, 9th Main, 11th Cross,12th SectorLIC Colony, Jeevan Bima Nagar  ",ROC BANGALORE,gowdac42@gmail.com,,
U74140KA2005PTC036230,HURITS CONSULTING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-05-2005,Karnataka,100000.0,100000.0,74140,Real estate renting and business activities,"L 376/A, VM Arcade, First Floor5th Main, 14th B Cross, 6th Sector, HSR Layout  ",ROC BANGALORE,thomas@hurits.com,31-03-2019,31-03-2019
U72200KA2012FTC062617,AMADEUS SOFTWARE LABS INDIA PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,21-02-2012,Karnataka,100000.0,100000.0,72200,Real estate renting and business activities,"6th Floor,Etamin Block,Prestige Technology Park-IIMarathahalli - Srajapur Outer Ring Road  ",ROC BANGALORE,blr.finance.compliance@amadeus.com,31-03-2019,31-03-2019
